ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weatherconditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken(min)
0x340c ,VADRES07DEL02 ,22,5,0.0,0.0,0.13,0.13,29-03-2022,21:20:00,21:35:00,conditions Windy,Jam ,1,Buffet ,motorcycle ,1,No ,Metropolitian ,(min) 28
0x9fd0 ,PUNERES14DEL01 ,27,4.5,18.516216,73.842527,18.556216,73.882527,21-03-2022,16:40:00,16:45:00,conditions Windy,Medium ,2,Meal ,electric_scooter ,0,No ,Metropolitian ,(min) 26
0xd5e0 ,LUDHRES12DEL03 ,30,4.9,30.893244,75.821817,30.983244,75.911817,16-02-2022,17:10:00,17:20:00,conditions Sandstorms,Medium ,2,Meal ,scooter ,1,No ,Urban ,(min) 27
0x1778 ,SURRES14DEL01 ,39,4.5,21.157729,72.768726,21.267729,72.878726,29-03-2022,23:35:00,23:50:00,conditions Windy,Low ,2,Snack ,scooter ,0,No ,Urban ,(min) 15
0x5632 ,COIMBRES02DEL02 ,24,5,11.022477,76.995667,11.152477,77.125667,10-03-2022,21:20:00,21:25:00,conditions Sunny,Jam ,1,Snack ,scooter ,0,No ,Urban ,(min) 10
0x15f2 ,CHENRES16DEL02 ,25,4.7,13.049645,80.242268,13.069645,80.262268,03-03-2022,11:50:00,11:55:00,conditions Windy,High ,2,Drinks ,electric_scooter ,0,No ,Metropolitian ,(min) 26
0x3cd5 ,PUNERES17DEL03 ,31,4.3,18.530963,73.828972,18.590963,73.888972,01-04-2022,17:40:00,17:50:00,conditions Cloudy,Medium ,0,Snack ,motorcycle ,1,No ,Metropolitian ,(min) 34
0x3117 ,MYSRES19DEL02 ,24,4.9,12.334022,76.618203,12.464022,76.748203,02-04-2022,22:10:00,22:15:00,conditions Cloudy,Low ,1,Snack ,motorcycle ,1,No ,Metropolitian ,(min) 21
0x87a4 ,MUMRES06DEL01 ,28,4.7,19.055831,72.833984,19.125831,72.903984,06-04-2022,18:20:00,18:30:00,conditions Sunny,Medium ,1,Buffet ,scooter ,1,No ,Metropolitian ,(min) 10
0xdac1 ,KOCRES20DEL02 ,26,4.6,9.979186,76.317361,10.059186,76.397361,18-02-2022,21:00:00,21:15:00,conditions Windy,Jam ,1,Buffet ,motorcycle ,0,No ,Metropolitian ,(min) 25
0x5364 ,VADRES19DEL03 ,29,4.8,22.311844,73.165081,22.371844,73.225081,01-04-2022,19:00:00,19:15:00,conditions Cloudy,Medium ,1,Snack ,scooter ,1,No ,Metropolitian ,(min) 17
0xc41e ,KOLRES15DEL01 ,23,4.8,22.552672,88.352885,22.662672,88.462885,18-02-2022,20:15:00,20:25:00,conditions Stormy,Jam ,2,Snack ,scooter ,1,No ,Urban ,(min) 18
0x237a ,RANCHIRES01DEL01 ,29,4.3,23.416792,85.316842,23.426792,85.326842,26-03-2022,11:15:00,11:25:00,conditions Sandstorms,High ,0,Buffet ,motorcycle ,1,No ,Metropolitian ,(min) 36
0x575e ,CHENRES03DEL01 ,36,4.9,13.091809,80.219104,13.201809,80.329104,16-03-2022,19:40:00,19:50:00,conditions Fog,Jam ,0,Meal ,motorcycle ,0,Yes ,Metropolitian ,(min) 46
0xa789 ,JAPRES010DEL02 ,30,4.7,26.921411,75.793604,27.001411,75.873604,02-04-2022,17:40:00,17:45:00,conditions Stormy,Medium ,1,Snack ,motorcycle ,0,No ,Metropolitian ,(min) 27
0x13fd ,CHENRES13DEL03 ,33,4.5,13.027018,80.254791,13.057018,80.284791,15-03-2022,18:30:00,18:40:00,conditions Sandstorms,Medium ,0,Drinks ,motorcycle ,1,No ,Urban ,(min) 30
0x91e5 ,SURRES06DEL02 ,23,4.9,21.185047,72.80859,21.265047,72.88859,29-03-2022,22:50:00,23:05:00,conditions Sandstorms,Low ,2,Buffet ,scooter ,0,No ,NaN ,(min) 10
0x25aa ,RANCHIRES17DEL02 ,32,4.9,23.374878,85.335739,23.424878,85.385739,01-03-2022,17:45:00,18:00:00,conditions Fog,Medium ,0,Snack ,motorcycle ,1,No ,Metropolitian ,(min) 28
0xe1dc ,KNPRES02DEL02 ,30,5,26.471617,80.313564,26.601617,80.443564,12-02-2022,17:50:00,18:00:00,conditions Stormy,Medium ,2,Buffet ,motorcycle ,0,No ,Urban ,(min) 21
0x7f30 ,BANGRES14DEL03 ,24,4.6,12.949934,77.699386,12.979934,77.729386,19-03-2022,23:35:00,23:40:00,conditions Sandstorms,Low ,2,Snack ,scooter ,1,No ,Metropolitian ,(min) 11
0x3caf ,MYSRES19DEL01 ,25,4.9,12.334022,76.618203,12.404022,76.688203,14-03-2022,20:50:00,20:55:00,conditions Cloudy,Jam ,2,Buffet ,electric_scooter ,2,No ,Metropolitian ,(min) 37
0x943b ,SURRES19DEL01 ,31,4.7,21.149669,72.772629,21.189669,72.812629,07-03-2022,15:25:00,15:40:00,conditions Stormy,Medium ,2,Drinks ,electric_scooter ,1,No ,NaN ,(min) 25
0xd7cb ,LUDHRES03DEL02 ,25,4.8,30.88722,75.804893,30.93722,75.854893,17-02-2022,18:25:00,18:40:00,conditions Cloudy,Medium ,2,Drinks ,motorcycle ,1,No ,Metropolitian ,(min) 16
0x850 ,COIMBRES12DEL01 ,38,4.6,11.000762,76.981876,11.040762,77.021876,05-03-2022,14:45:00,15:00:00,conditions Windy,High ,0,Snack ,motorcycle ,1,No ,Metropolitian ,(min) 33
0x4fa6 ,COIMBRES06DEL03 ,21,4.2,11.021278,76.995017,11.111278,77.085017,10-03-2022,20:35:00,20:40:00,conditions Cloudy,Jam ,1,Buffet ,motorcycle ,0,No ,Metropolitian ,(min) 43
0x53e7 ,PUNERES06DEL02 ,24,4.8,18.546258,73.904337,18.676258,74.034337,06-04-2022,19:55:00,20:05:00,conditions Windy,Jam ,1,Meal ,motorcycle ,1,No ,Metropolitian ,(min) 26
0x9a60 ,VADRES09DEL02 ,38,3.6,0.0,0.0,0.08,0.08,20-03-2022,21:45:00,21:50:00,conditions Stormy,Jam ,2,Drinks ,scooter ,1,No ,Metropolitian ,(min) 34
0x707a ,PUNERES12DEL02 ,21,4.6,18.520016,73.830547,18.600016,73.910547,06-03-2022,21:35:00,21:45:00,conditions Sunny,Jam ,0,Buffet ,motorcycle ,1,No ,Metropolitian ,(min) 26
0x454c ,CHENRES16DEL03 ,34,4.2,13.049645,80.242268,13.139645,80.332268,31-03-2022,21:35:00,21:50:00,conditions Windy,Jam ,2,Meal ,motorcycle ,1,No ,Metropolitian ,(min) 32
0xd5cb ,AURGRES05DEL02 ,20,4.7,19.875522,75.367127,19.895522,75.387127,15-02-2022,11:35:00,11:40:00,conditions Sunny,High ,1,Meal ,scooter ,0,No ,Metropolitian ,(min) 19
0x8a19 ,JAPRES15DEL03 ,37,4.9,26.891191,75.802083,27.031191,75.942083,06-03-2022,17:25:00,17:40:00,conditions Stormy,Medium ,2,Snack ,scooter ,1,No ,Urban ,(min) 28
0x549a ,VADRES010DEL01 ,20,4.1,22.310329,73.169083,22.380329,73.239083,25-03-2022,18:30:00,18:35:00,conditions Cloudy,Medium ,2,Meal ,motorcycle ,1,No ,Metropolitian ,(min) 36
0x83d3 ,MYSRES14DEL02 ,34,4.9,0.0,0.0,0.13,0.13,23-03-2022,19:20:00,19:30:00,conditions Fog,Jam ,0,Meal ,motorcycle ,1,No ,Metropolitian ,(min) 40
0x8c89 ,COIMBRES08DEL01 ,24,4.8,11.001852,76.976268,11.041852,77.016268,15-03-2022,16:55:00,17:00:00,conditions Stormy,Medium ,0,Buffet ,motorcycle ,0,No ,Urban ,(min) 13
0x44d6 ,MYSRES08DEL01 ,36,4.7,12.297954,76.665169,12.407954,76.775169,06-04-2022,23:50:00,00:00:00,conditions Sunny,Low ,0,Meal ,motorcycle ,1,No ,Metropolitian ,(min) 29
0x4427 ,CHENRES16DEL01 ,32,4.2,13.049645,80.242268,13.159645,80.352268,08-03-2022,17:25:00,17:40:00,conditions Cloudy,Medium ,1,Meal ,motorcycle ,0,No ,Urban ,(min) 39
0xb132 ,INDORES06DEL01 ,32,4.8,22.728163,75.884212,22.738163,75.894212,19-03-2022,10:00:00,10:15:00,conditions Cloudy,Low ,2,Buffet ,electric_scooter ,1,No ,Metropolitian ,(min) 19
0x2e10 ,RANCHIRES16DEL01 ,38,4.8,23.371292,85.327872,23.481292,85.437872,04-03-2022,19:30:00,19:45:00,conditions Fog,Jam ,1,Drinks ,scooter ,1,No ,Metropolitian ,(min) 36
0x3b13 ,COIMBRES07DEL01 ,30,4.8,10.96185,76.971082,11.00185,77.011082,09-03-2022,15:25:00,15:35:00,conditions Stormy,Medium ,2,Buffet ,electric_scooter ,1,No ,Urban ,(min) 25
0xd61 ,JAPRES03DEL01 ,NaN ,NaN ,26.913483,75.803139,26.983483,75.873139,04-03-2022,NaN ,18:50:00,conditions Windy,Medium ,1,Snack ,scooter ,0,No ,Metropolitian ,(min) 18
0x9b4e ,INDORES12DEL02 ,28,4.6,22.74806,75.8934,22.82806,75.9734,06-04-2022,18:50:00,19:00:00,conditions Fog,Medium ,1,Snack ,scooter ,1,No ,Metropolitian ,(min) 39
0x9969 ,RANCHIRES16DEL01 ,36,4.6,23.371292,85.327872,23.481292,85.437872,02-03-2022,22:30:00,22:45:00,conditions Fog,Low ,2,Meal ,electric_scooter ,0,No ,Metropolitian ,(min) 25
0x2c68 ,SURRES010DEL01 ,35,3.8,21.17106,72.789292,21.24106,72.859292,25-03-2022,20:15:00,20:20:00,conditions Stormy,Jam ,2,Drinks ,scooter ,1,No ,Metropolitian ,(min) 40
0xd9d ,SURRES04DEL02 ,32,4.5,21.173493,72.801953,21.193493,72.821953,05-03-2022,08:40:00,08:45:00,conditions Fog,Low ,2,Snack ,scooter ,0,No ,Urban ,(min) 18
0x43af ,BANGRES06DEL03 ,21,4.9,12.979096,77.640625,13.039096,77.700625,03-04-2022,18:30:00,18:40:00,conditions Fog,Medium ,2,Buffet ,motorcycle ,1,No ,Metropolitian ,(min) 18
0x1dc0 ,INDORES12DEL01 ,32,4.9,22.74806,75.8934,22.78806,75.9334,03-03-2022,13:20:00,13:35:00,conditions Sunny,High ,0,Buffet ,motorcycle ,0,No ,Metropolitian ,(min) 21
0x620e ,JAPRES15DEL03 ,38,4.9,26.891191,75.802083,26.921191,75.832083,13-03-2022,18:40:00,18:45:00,conditions Stormy,Medium ,1,Drinks ,motorcycle ,0,No ,Metropolitian ,(min) 26
0x3174 ,CHENRES11DEL03 ,36,4.9,13.064181,80.236442,13.094181,80.266442,01-04-2022,21:10:00,21:25:00,conditions Stormy,Jam ,1,Buffet ,scooter ,0,No ,Metropolitian ,(min) 30
0x626a ,COIMBRES09DEL03 ,27,4.8,11.008638,76.984311,11.068638,77.044311,13-03-2022,19:40:00,19:55:00,conditions Sandstorms,Jam ,1,Drinks ,scooter ,1,No ,Metropolitian ,(min) 18
0xdb0d ,LUDHRES13DEL03 ,20,4.4,30.893234,75.82172,30.983234,75.91172,16-02-2022,18:20:00,18:35:00,conditions Windy,Medium ,0,Drinks ,motorcycle ,1,No ,Metropolitian ,(min) 36
0x8516 ,RANCHIRES20DEL03 ,25,4.5,23.39925,85.390464,23.42925,85.420464,19-03-2022,22:45:00,22:50:00,conditions Stormy,Low ,0,Drinks ,motorcycle ,1,No ,Metropolitian ,(min) 21
0xade4 ,PUNERES15DEL02 ,20,4.6,18.636215,73.751081,18.656215,73.771081,03-04-2022,12:00:00,12:15:00,conditions Fog,High ,2,Snack ,electric_scooter ,1,No ,Metropolitian ,(min) 33
0x6f3e ,SURRES11DEL03 ,33,4.2,21.157735,72.768778,21.217735,72.828778,13-03-2022,19:55:00,20:00:00,conditions Stormy,Jam ,0,Snack ,motorcycle ,1,No ,Urban ,(min) 32
0x22c1 ,MYSRES11DEL02 ,37,4.9,12.323225,76.630028,12.453225,76.760028,25-03-2022,17:20:00,17:30:00,conditions Fog,Medium ,0,Snack ,motorcycle ,1,No ,Metropolitian ,(min) 41
0x7e66 ,VADRES06DEL02 ,22,5,22.31279,73.170283,22.36279,73.220283,26-03-2022,20:40:00,20:45:00,conditions Fog,Jam ,1,Buffet ,motorcycle ,2,No ,Metropolitian ,(min) 33
0x3346 ,RANCHIRES05DEL01 ,26,4.9,23.355164,85.324097,23.395164,85.364097,01-04-2022,16:50:00,17:00:00,conditions Fog,Medium ,0,Drinks ,motorcycle ,0,No ,Urban ,(min) 23
0x83d ,PUNERES12DEL01 ,NaN ,NaN ,18.520016,73.830547,18.590016,73.900547,25-03-2022,17:55:00,18:10:00,conditions Stormy,Medium ,0,Snack ,motorcycle ,1,No ,Metropolitian ,(min) 31
0x899a ,HYDRES01DEL01 ,21,4.6,17.410371,78.437225,17.520371,78.547225,10-03-2022,17:50:00,17:55:00,conditions Cloudy,Medium ,0,Meal ,motorcycle ,0,No ,Metropolitian ,(min) 38
0x6000 ,SURRES010DEL02 ,31,4.8,21.17106,72.789292,21.22106,72.839292,11-03-2022,18:00:00,18:15:00,conditions Sunny,Medium ,1,Snack ,scooter ,0,No ,Urban ,(min) 18
0xbe78 ,BANGRES15DEL02 ,29,4.5,12.975377,77.696664,13.055377,77.776664,31-03-2022,22:25:00,22:40:00,conditions Windy,Low ,1,Snack ,scooter ,0,No ,Urban ,(min) 13
0x408f ,SURRES19DEL01 ,26,4.7,21.149669,72.772629,21.219669,72.842629,25-03-2022,21:40:00,21:55:00,conditions Sunny,Jam ,2,Drinks ,scooter ,1,No ,Metropolitian ,(min) 24
0x76b9 ,BANGRES010DEL02 ,24,4.7,12.933298,77.614293,13.063298,77.744293,16-03-2022,20:45:00,20:50:00,conditions Windy,Jam ,0,Buffet ,motorcycle ,1,No ,Metropolitian ,(min) 25
0x1c77 ,RANCHIRES07DEL02 ,27,4.8,23.359407,85.325055,23.409407,85.375055,09-03-2022,17:10:00,17:15:00,conditions Cloudy,Medium ,2,Meal ,electric_scooter ,0,No ,Metropolitian ,(min) 19
0xacf ,MYSRES08DEL01 ,20,4.9,12.297954,76.665169,12.367954,76.735169,18-03-2022,18:10:00,18:20:00,conditions Sunny,Medium ,1,Drinks ,scooter ,1,No ,Metropolitian ,(min) 19
0x3191 ,PUNERES01DEL01 ,20,4.9,18.569156,73.774723,18.609156,73.814723,13-03-2022,15:25:00,15:40:00,conditions Windy,Medium ,1,Drinks ,scooter ,0,No ,Metropolitian ,(min) 23
0x4fcd ,INDORES010DEL01 ,39,4.1,22.75004,75.902847,22.86004,76.012847,06-04-2022,20:50:00,21:05:00,conditions Fog,Jam ,2,Drinks ,scooter ,1,No ,Metropolitian ,(min) 35
0x8b7d ,SURRES15DEL01 ,20,4.6,21.160522,72.771477,21.270522,72.881477,06-04-2022,21:30:00,21:40:00,conditions Fog,Jam ,2,Drinks ,motorcycle ,0,No ,Metropolitian ,(min) 42
0x3596 ,VADRES08DEL01 ,34,4.7,0.0,0.0,0.01,0.01,28-03-2022,12:00:00,12:05:00,conditions Windy,High ,1,Drinks ,motorcycle ,0,No ,Metropolitian ,(min) 33
0x4852 ,MYSRES010DEL02 ,36,3.6,12.321214,76.621094,12.401214,76.701094,29-03-2022,20:55:00,21:05:00,conditions Windy,Jam ,1,Snack ,motorcycle ,0,No ,Metropolitian ,(min) 41
0xbb50 ,MYSRES03DEL01 ,26,5,12.299524,76.64262,12.309524,76.65262,19-03-2022,11:00:00,11:15:00,conditions Sandstorms,Low ,2,Drinks ,scooter ,1,No ,Metropolitian ,(min) 17
0x33cb ,RANCHIRES02DEL01 ,36,4.5,0.0,0.0,0.11,0.11,20-03-2022,17:45:00,18:00:00,conditions Stormy,Medium ,2,Meal ,scooter ,1,No ,Metropolitian ,(min) 33
0xa3f3 ,VADRES14DEL03 ,22,4,22.311603,73.165012,22.341603,73.195012,05-03-2022,22:35:00,22:40:00,conditions Sandstorms,Low ,0,Meal ,motorcycle ,0,No ,Metropolitian ,(min) 29
0x5558 ,CHENRES09DEL02 ,39,3.6,13.044694,80.26147,13.124694,80.34147,04-04-2022,19:20:00,19:25:00,conditions Windy,Jam ,1,Drinks ,scooter ,1,No ,Metropolitian ,(min) 42
